,anime_id,male_fan,female_fan
1119,324,21,5
1120,32438,8,7
1121,32483,4,2
1122,32491,24,15
1123,32494,10,1
1124,325,10,36
1125,32526,62,28
1126,32542,70,26
1127,32587,6,1
1128,32595,2,2
1129,326,4,12
1130,32615,197,42
1131,32648,15,5
1132,32668,5,7
1133,32673,22,15
1134,32681,47,17
1135,32686,43,4
1136,3269,2,2
1137,32696,2,10
1138,32717,9,7
1139,32729,60,74
1140,32827,17,3
1141,32828,18,25
1142,32836,3,6
1143,32843,14,4
1144,32867,52,93
1145,32899,4,30
1146,329,307,33
1147,32901,42,11
1148,32902,15,6
1149,32924,11,5
1150,32935,181,79
1151,32937,231,13
1152,32948,12,12
1153,32949,126,52
1154,32951,37,7
1155,32962,17,1
1156,3297,448,72
1157,32977,10,7
1158,32979,111,42
1159,32983,16,16
1160,3299,8,13
1161,32995,69,519
1162,32998,77,82
1163,33,1012,172
1164,330,30,3
1165,33003,10,14
1166,33012,5,1
1167,33018,9,11
1168,33023,5,21
1169,33028,36,22
1170,33049,83,14
1171,33051,33,7
1172,33089,60,13
1173,33094,5,4
1174,33095,137,63
1175,331,1,3
1176,33206,294,106
1177,3324,2,1
1178,33241,6,3
1179,33248,3,1
1180,33253,5,7
1181,33255,274,121
1182,3326,3,2
1183,33263,19,3
1184,33314,5,6
1185,33337,27,22
1186,33350,3,8
1187,33352,606,212
1188,33354,4,8
1189,33377,3,5
1190,334,10,26
1191,33417,1,4
1192,3342,52,29
1193,33433,14,6
1194,33434,3,4
1195,33446,1,1
1196,3345,4,2
1197,33486,335,146
1198,33489,228,75
1199,335,4,3
1200,33502,115,13
1201,33506,12,15
1202,3358,15,5
1203,33589,5,2
1204,3359,1,5
1205,33605,1,6
1206,3363,5,4
1207,33654,4,23
1208,3366,10,7
1209,33674,153,21
1210,33731,70,8
1211,3375,2,4
1212,33783,3,1
1213,338,151,103
1214,33850,2,1
1215,3389,4,3
1216,33899,2,36
1217,339,788,221
1218,33926,102,42
1219,33983,5,6
1220,33988,41,18
1221,34012,10,4
1222,34055,2,3
1223,3407,9,3
1224,34076,6,4
1225,34086,1,2
1226,34096,20,15
1227,341,9,25
1228,34102,20,2
1229,34103,20,5
1230,34104,6,1
1231,34134,22,3
1232,34152,1,6
1233,34176,6,3
1234,3420,18,11
1235,34240,76,32
1236,34262,3,16
1237,34280,35,3
1238,34284,4,3
1239,343,8,2
1240,34300,4,2
1241,34321,2,1
1242,34350,4,1
1243,34382,29,11
1244,344,4,2
1245,34403,9,1
1246,34437,15,4
1247,34438,2,1
1248,34439,2,1
1249,34440,4,1
1250,34451,32,4
1251,3446,1,1
1252,3448,3,1
1253,34494,26,1
1254,34497,9,5
1255,345,5,20
1256,34537,89,9
1257,34541,1,2
1258,34542,53,21
1259,34544,7,2
1260,34547,3,2
1261,3455,95,3
1262,34561,124,15
1263,34566,39,12
1264,3457,30,261
1265,34572,70,43
1266,34577,48,4
1267,34591,28,24
1268,34599,882,236
1269,34607,2,1
1270,34612,77,19
1271,34618,50,30
1272,34636,68,23
1273,34658,7,2
1274,34662,29,6
1275,3470,15,117
1276,34712,19,14
1277,34745,15,4
1278,34787,2,1
1279,3479,10,3
1280,34792,7,2
1281,34795,2,1
1282,34798,224,29
1283,34822,320,26
1284,34863,2,5
1285,34866,7,2
1286,34901,1,1
1287,34902,40,19
1288,34933,55,53
1289,34944,5,3
1290,34973,26,8
1291,34984,32,10
1292,350,14,20
1293,35062,120,129
1294,35073,48,1
1295,35075,5,2
1296,35076,4,12
1297,35079,22,2
1298,35120,285,102
1299,35180,507,85
1300,352,4,2
1301,35203,31,3
1302,35220,1,6
1303,35222,15,13
1304,35240,30,18
1305,35241,18,5
1306,35247,216,9
1307,35249,8,1
1308,35250,1,1
1309,35251,2,6
1310,35262,4,4
1311,353,17,4
1312,35321,2,3
1313,35330,22,12
1314,35376,9,2
1315,35413,53,1
1316,35427,5,1
1317,35466,17,3
1318,355,209,74
1319,35503,36,17
1320,35507,100,8
1321,35557,227,98
1322,3559,4,2
1323,356,260,40
1324,35639,37,2
1325,35672,5,4
1326,35677,62,12
1327,357,31,7
1328,3572,100,29
1329,3574,1,8
1330,35756,14,10
1331,35760,63,34
1332,35788,30,7
1333,35790,196,33
1334,35821,5,4
1335,35828,4,7
1336,35838,190,36
1337,35839,489,68
1338,35842,7,2
1339,35843,6,3
1340,35847,36,11
1341,35848,37,16
1342,35849,265,31
1343,35851,99,38
1344,35857,23,3
1345,35860,74,4
1346,3588,446,432
1347,35889,7,19
1348,35905,8,2
1349,35928,1,10
1350,3594,4,9
1351,35946,2,1
1352,35960,1,1
1353,35968,72,52
1354,35972,29,16
1355,35994,14,16
1356,36023,2,3
1357,36028,11,12
1358,36038,49,27
1359,36094,12,2
1360,36098,130,17
1361,3613,9,41
1362,36157,2,1
1363,36214,10,12
1364,36245,2,3
1365,36259,20,1
1366,36266,6,2
1367,36286,2,2
1368,36296,122,15
1369,36317,2,8
1370,36318,2,3
1371,364,5,2
1372,36407,12,2
1373,36456,167,58
1374,36470,15,4
1375,36474,54,12
1376,36475,5,2
1377,36511,9,4
1378,36517,3,2
1379,3652,10,3
1380,3653,4,1
1381,36548,8,2
1382,3655,13,54
1383,3656,1,8
1384,36563,53,5
1385,36593,3,8
1386,36633,5,3
1387,36649,63,183
1388,36652,2,8
1389,36653,4,8
1390,3667,46,11
1391,3670,5,2
1392,36704,4,13
1393,3673,4,7
1394,36793,3,1
1395,368,19,2
1396,36828,2,1
1397,36838,8,5
1398,36871,3,2
1399,36882,18,4
1400,36884,12,7
1401,36896,6,1
1402,369,44,16
1403,36902,2,3
1404,36904,23,4
1405,36906,3,4
1406,36946,20,2
1407,36949,16,2
1408,36999,21,3
1409,37007,3,1
1410,3701,183,51
1411,3702,138,52
1412,37033,16,2
1413,37086,7,9
1414,37105,153,19
1415,3712,18,2
1416,3713,9,9
1417,37140,2,2
1418,37141,20,25
1419,37171,66,35
1420,37178,4,2
1421,372,7,19
1422,37202,7,2
1423,37204,2,6
1424,37208,32,130
1425,37210,32,4
1426,37221,3,4
1427,37259,3,4
1428,3731,60,139
1429,37338,5,4
1430,37349,59,8
1431,37379,14,2
1432,37426,22,24
1433,37430,143,28
1434,37435,32,15
1435,37447,4,2
1436,37450,390,34
1437,37475,22,2
1438,37491,8,2
1439,37497,24,6
1440,3750,7,3
1441,37510,411,87
1442,37517,28,16
1443,37520,62,76
1444,37521,125,14
1445,37525,3,3
1446,37569,2,6
1447,37578,5,5
1448,37614,13,6
1449,37651,1,1
1450,37675,43,2
1451,37779,189,173
1452,37786,91,30
1453,37799,13,2
1454,3782,22,5
1455,3783,21,7
1456,3784,140,19
1457,3785,22,9
1458,37869,4,2
1459,379,54,10
1460,37926,7,1
1461,37964,1,1
1462,37965,76,25
1463,37972,8,2
1464,37976,39,15
1465,37985,2,2
1466,37989,6,2
1467,37991,291,55
1468,37993,12,4
1469,37999,294,37
1470,38000,364,209
1471,38003,11,19
1472,38040,12,1
1473,38080,4,7
1474,38084,7,2
1475,38101,53,2
1476,38145,17,13
1477,38217,5,4
1478,38249,6,2
1479,38250,2,5
1480,383,16,3
1481,38329,50,10
1482,384,89,13
1483,38408,20,14
1484,3841,15,23
1485,38481,4,1
1486,385,9,1
1487,38524,375,83
1488,38659,17,3
1489,38671,12,10
1490,38680,44,108
1491,38691,112,41
1492,387,394,151
1493,38731,4,3
1494,38753,30,9
1495,38778,3,2
1496,38816,2,4
1497,38826,60,5
1498,38883,1,2
1499,38889,7,3
1500,389,12,1
1501,38917,2,3
1502,38935,10,1
1503,38940,4,2
1504,38993,35,6
1505,390,35,2
