,animeID,name,title_english,type,source,genre,episodes,score,scored_by,rating,male_fan,female_fan,fan_base
7392,17219.0,Sore Ike! Anpanman: Roll to Laura Ukigumojou no Himitsu,,Movie,Original,"Kids, Fantasy, Comedy",1.0,6.48,33.0,6.474249384999667,0.0,0.0,0.0
7393,17221.0,Shin Kabukichou Story Hana no Asukagumi!,,OVA,Original,"Adventure, Drama, Shoujo",1.0,5.81,21.0,5.83156723136312,0.0,0.0,0.0
7394,17223.0,Hana no Asukagumi! 2: Lonely Cats Battle Royale,,OVA,Original,"Adventure, Drama, Shoujo",1.0,5.6,15.0,5.642779943124291,0.0,0.0,0.0
7395,17233.0,Jib,The House,Movie,Original,"Kids, Drama, Fantasy",1.0,6.59,119.0,6.587453992416572,0.0,0.0,0.0
7396,17237.0,Peeping Life: World History,,ONA,Original,"Slice of Life, Comedy, Historical",40.0,6.01,119.0,6.012287325749905,0.0,0.0,0.0
7397,17245.0,Christmas,,Music,Original,"Music, Supernatural",1.0,5.53,328.0,5.532293249513644,0.0,0.0,0.0
7398,17247.0,Machine-Doll wa Kizutsukanai,Unbreakable Machine-Doll,TV,Light novel,"Action, Ecchi, Fantasy, School",12.0,7.3,101234.0,7.29998996867773,16.0,3.0,13.0
7399,17249.0,Pretty Rhythm: Rainbow Live,,TV,Game,"Slice of Life, Sports, Music, Shoujo",51.0,7.7,2187.0,7.699353052600543,4.0,7.0,-3.0
7400,17251.0,Wanna. SpartanSex Spermax!!!,,OVA,Visual novel,Hentai,2.0,6.88,1959.0,6.879696162801015,0.0,0.0,0.0
7401,17259.0,Kuroko no Basket: Oshaberi Shiyokka,Kuroko's Basketball Special,Special,Original,"Comedy, School, Sports, Shounen",1.0,7.37,16676.0,7.369934909101756,0.0,0.0,0.0
7402,17263.0,Hanakappa Movie: Hanasake! Pakkaan♪ Chou no Kuni no Daibouken,Hanakappa: Adventure in the Butterfly Kingdom,Movie,Picture book,"Comedy, Kids",1.0,5.42,19.0,5.4632239544994325,0.0,0.0,0.0
7403,17265.0,Log Horizon,Log Horizon,TV,Novel,"Action, Game, Adventure, Magic, Fantasy",25.0,8.08,321035.0,8.079994407104156,366.0,49.0,317.0
7404,17267.0,Futari wa Milky Holmes,,TV,Card game,"Comedy, Mystery, Super Power",12.0,5.84,2837.0,5.8401566170154995,0.0,0.0,0.0
7405,17269.0,Captain Herlock,Space Pirate Captain Harlock,Movie,Manga,"Action, Sci-Fi, Space, Drama",1.0,7.46,22921.0,7.459948716477183,2.0,1.0,1.0
7406,17273.0,Hetalia: The Beautiful World Specials,,Special,Original,"Comedy, Historical, Parody",4.0,7.82,4870.0,7.819684762695543,0.0,0.0,0.0
7407,17277.0,Code Geass: Soubou no Oz Picture Drama,Code Geass: Oz the Reflection Picture Drama,OVA,Original,"Action, Drama, Mecha, Military, School, Supernatural",5.0,6.44,1889.0,6.439917713804227,1.0,0.0,1.0
7408,17291.0,Jinzou Konchuu Kabutoborg VxV,,TV,Original,"Action, Comedy, Fantasy, Game, Shounen",52.0,6.51,59.0,6.506241318166477,0.0,0.0,0.0
7409,17293.0,Love Like Aliens,,Music,Original,"Action, Music, Sci-Fi",1.0,5.55,462.0,5.55158634792654,0.0,0.0,0.0
7410,17295.0,Cosmic Break,,ONA,Game,"Game, Drama, Mecha",4.0,6.11,108.0,6.111600725596227,0.0,0.0,0.0
7411,17307.0,Dr. Typhoon,,OVA,Original,"Drama, Seinen, Sports",1.0,6.45,20.0,6.442118051904221,0.0,0.0,0.0
7412,17313.0,Pro Golfer Saru,,Special,Original,"Kids, Sports",1.0,6.33,21.0,6.327930867726757,0.0,0.0,0.0
7413,17315.0,Shin Pro Golfer Saru,,TV,Original,"Kids, Sports",10.0,6.63,16.0,6.609675240587568,0.0,0.0,0.0
7414,17317.0,Pro Golfer Saru: Super Golf World e no Chousen!!,,Movie,Original,"Kids, Sports",1.0,5.55,11.0,5.611206590832387,0.0,0.0,0.0
7415,17321.0,Pro Golfer Saru: Kouga Hikyou! Kage no Ninpou Golfer Sanjou!,,Movie,Original,"Kids, Sports",1.0,5.92,13.0,5.946034220713475,0.0,0.0,0.0
7416,17325.0,Ajin Senshi,,Movie,Original,"Fantasy, Sci-Fi",1.0,6.23,111.0,6.2304864204463275,0.0,0.0,0.0
